text,label
Interactive Quiz on Sociology of Media,YES
A tech billionaire Spotted Out for Dinner - Photos Inside,NO
Noise-cancelling headphones Review After 3 Months of Daily Use,NO
Celebrity Gossip: Who Wore It Best?,NO
Top 10 Funniest Among Us Fails of All Time,NO
I Spent $500 on Loot Boxes - Was It Worth It? (Watch Now),NO
Step-by-Step Guide to Mastering The Immune System,YES
A tech billionaire's New Reality Show Trailer Just Dropped,NO
A famous actor Just Dropped a Shocking Announcement,NO
The Ultimate Guide to This Season's Fashion Trends,NO
University Lecture Series on Shakespeare's Plays,YES
Is a stand-up comedian Dating Someone New? Rumors Swirl,NO
My Morning Routine: Get Ready With Me,NO
An Olympic athlete Drops Surprise Album at Midnight,NO
Easy Weeknight Bread Recipe - So Fluffy! (Watch Now),NO
This Prank Went Too Far - Reaction Video,NO
5 a portable speaker You Should Buy Right Now,NO
Common Mistakes When Learning Calculus,YES
Practice Problems: The Industrial Revolution,YES
Meme Compilation: Try Not to Laugh Challenge,NO
Learn Algorithms in 30 Days,YES
Exclusive Interview With a Reality TV Star,NO
Study Guide for Thermodynamics,YES
Among Us Live Stream - Come Hang Out!,NO
Kubernetes - Full Course for Beginners,YES
Red Carpet Fashion at the Award Show,NO
A Deep Dive into Renaissance Art,YES
Watch a K-pop idol Perform Live at the Awards Show,NO
Best Deals on noise-cancelling headphones This Week,NO
Reacting to the New GTA V Trailer,NO
Newton's Laws 101: Everything You Need to Know,YES
Is a YouTuber Dating Someone New? Rumors Swirl,NO
Top 10 Funniest Rocket League Fails of All Time,NO
Ranking Every Rocket League Map From Worst to Best,NO
Ranking Every Elden Ring Map From Worst to Best,NO
Behind the Scenes of the Latest Music Video,NO
University Lecture Series on The Water Cycle,YES
Breaking: Local Team Wins Championship Game,NO
Exam Prep: Cell Biology Revision Notes,YES
"Object-Oriented Programming: Definitions, Formulas, and Examples",YES
Practice Problems: Evolution,YES
Netflix Releases New Show - Trailer Reaction,NO
Ranking Every Overwatch 2 Map From Worst to Best,NO
Ranking Every Counter-Strike 2 Weapon Skin Tier List,NO
Shop the Look: Celebrity Street Style,NO
A Hollywood couple Just Dropped a Shocking Announcement,NO
A famous actor's New Reality Show Trailer Just Dropped,NO
Vlog: A Day in My Life,NO
Chess Opening Theory: The Sicilian Defense Explained,YES
A famous actor Drops Surprise Album at Midnight,NO
Ranking Every Fortnite Map From Worst to Best,NO
Cutest Dog Videos Compilation,NO
Live Score Update: Match Highlights,NO
Ancient Greek Philosophy for High School Students,YES
Taylor Swift Spotted Out for Dinner - Photos Inside,NO
World War II Explained with Diagrams,YES
A football star Responds to Backlash in New Statement,NO
Understanding Supply and Demand: A Beginner's Guide,YES
Is a tech billionaire Dating Someone New? Rumors Swirl,NO
A stand-up comedian's New Reality Show Trailer Just Dropped,NO
Understanding Interest Rates and Loan Amortization,YES
Wireless earbuds Review After 3 Months of Daily Use,NO
A portable speaker Unboxing and First Impressions,NO
Interactive Quiz on Renaissance Art,YES
Interactive Quiz on Operating Systems,YES
Wireless earbuds Unboxing and First Impressions,NO
Top 5 Restaurants You Need to Try This Weekend,NO
Watch an Olympic athlete Perform Live at the Awards Show,NO
Common Mistakes When Learning Machine Learning,YES
An influencer Drops Surprise Album at Midnight,NO
The Chemistry of Why Onions Make You Cry (Full Explanation),YES
Comparing the Top 3 a phone case Brands,NO
Rainbow Six Siege Funny Moments Montage,NO
Taylor Swift's Wildest Moments Compilation,NO
Unboxing the New a laptop: Is It Worth the Hype?,NO
How Does Black Holes Work?,YES
Introduction to Supply and Demand,YES
Learn Big-O Notation in 30 Days,YES
A rapper's Wildest Moments Compilation,NO
New Trailer Drops for Upcoming Superhero Movie,NO
League of Legends Live Stream - Come Hang Out!,NO
Why Everyone Is Obsessed With a robot vacuum This Year,NO
Giveaway Alert: Win a Free a mechanical keyboard!,NO
A Deep Dive into DNA Replication,YES
Flashcards: Key Terms in Newton's Laws,YES
Comparing the Top 3 sneakers Brands,NO
My a laptop Wishlist for This Holiday Season,NO
Key Concepts in Public Speaking,YES
Unboxing the New skincare products: Is It Worth the Hype?,NO
Why Everyone Is Obsessed With a backpack This Year,NO
You Won't Believe What Happened at This Concert,NO
The Cold War for High School Students,YES
Common Mistakes When Learning The Water Cycle,YES
An influencer Spotted Out for Dinner - Photos Inside,NO
"The Industrial Revolution: Definitions, Formulas, and Examples",YES
Giveaway Alert: Win a Free a portable speaker!,NO
Counter-Strike 2 New Update Patch Notes - What Changed,NO
Ranking Every Roblox Weapon Skin Tier List,NO
MIT OpenCourseWare - Data Structures,YES
Frame-Perfect Speedrun Highlights Reel,NO
"Cryptography: Definitions, Formulas, and Examples",YES
Watch an influencer Perform Live at the Awards Show,NO
